PubChem CID,Ligand SMILES
137539292,O[C@H]1CCN(C1)C(=O)c1nc(NCc2cncc(F)c2)nc2ccsc12
137539293,Fc1cncc(CNc2nc(C(=O)N3CCC3)c3sccc3n2)c1
137539297,C[C@H](Nc1nc(C(=O)NC2CCC2)c2scc(C)c2n1)c1ccccn1
137539301,COc1ccc(CCCNC(=O)c2nc(N[C@@H](C)c3cncc(F)c3)nc3ccsc23)cc1
137539305,Clc1cncc(CNc2nc(C(=O)N3CCCC3)c3sccc3n2)c1
137539306,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C(C)(C)C)c2sc(C)cc2n1)c1cncc(F)c1
137539311,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CC[C@H](O)C3)c2s1
137539329,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CC[C@H](O)C3)c2s1
137539338,C[C@H](Nc1nc(C(=O)NCCC2CCN(C)CC2)c2sc(C)cc2n1)c1cncc(F)c1
137539341,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CCCC3)c2s1
137539342,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CCC3)c2s1
137539347,C[C@H](Nc1nc(C(=O)N2CC(O)C2)c2sc(C)cc2n1)c1cccnc1
137539351,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccc(cc2)-c2ccccc2)c2sccc2n1)c1cncc(F)c1
137539362,C[C@H](Nc1nc(C(=O)N2CCC2)c2sccc2n1)c1cccc(F)c1
137539382,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2cccc(c2)C(F)(F)F)c2sccc2n1)c1cncc(F)c1
137539384,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)Nc2ccccc2)c2sccc2n1)c1cncc(F)c1
137539391,CNc1cc2nc(N[C@@H](C)c3cccnc3)nc(C(=O)N3CCC3)c2s1
137539397,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccc(o2)C(F)(F)F)c2sccc2n1)c1cncc(F)c1
137539398,CCC(CC)NC(=O)NC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137539409,COC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137539417,C[C@H](Nc1nc(C(=O)N2CCCC2)c2scc(C)c2n1)c1ccccn1
137539422,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sccc2n1)c1cncc(Cl)c1
137539440,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sc(C)cc2n1)c1cccnc1
137539459,C[C@H](Nc1nc(C(=O)N2CCC2)c2scc(C)c2n1)c1cncc(F)c1
137539465,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)CNC(=O)c2ccccc2)c2sc(C)cc2n1)c1cncc(F)c1
137539475,CCNC(=O)C1CCN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137539478,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCOCC2)c2sccc2n1)c1cncc(F)c1
137539482,CCNC(=O)c1ccc(CCNC(=O)c2nc(N[C@@H](C)c3cncc(F)c3)nc3cc(C)sc23)cc1
137539485,CNc1cc2nc(N[C@@H](C)c3cncc(F)c3)nc(C(=O)N3CC[C@@H](O)C3)c2s1
137539488,C[C@H](NC(=O)c1nc(N[C@@H](C)c2ccccn2)nc2ccsc12)c1ccccn1
137539492,Fc1cc(F)cc(CNc2nc(C(=O)NC3CCC3)c3sccc3n2)c1
137539494,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2(CC2)C(F)(F)F)c2sccc2n1)c1cncc(F)c1
137539501,CNC(=O)NCC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(F)c2)nc2ccsc12
137539504,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2ccoc2)c2sccc2n1)c1cncc(F)c1
137539510,COc1cc(F)cc(CNc2nc(C(=O)N3CC(O)C3)c3sccc3n2)c1
137539512,C[C@H](Nc1nc(C(=O)N2CC[C@H](C2)C(=O)NOC2CCCC2)c2sccc2n1)c1cncc(F)c1
137539513,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sc(N)cc2n1)c1cncc(F)c1
137539525,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)c2cccc(C)c2)c2sccc2n1)c1cncc(F)c1
137539530,C[C@H](Nc1nc(C(=O)NCC(F)(F)F)c2sccc2n1)c1ccccn1
137539546,C[C@H](Nc1nc(C(=O)N2CC(O)C2)c2sccc2n1)c1cncc(F)c1
137539549,C[C@H](Nc1nc(C(=O)NC(C)(C)C)c2sccc2n1)c1ccccn1
137539559,CC(C)NC(=O)c1nc(N[C@@H](C)c2ccccn2)nc2ccsc12
137539564,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCC2)c2sc(C)cc2n1)c1cncc(F)c1
137539573,COC1CN(C1)C(=O)c1nc(N[C@@H](C)c2cncc(Cl)c2)nc2ccsc12
137539575,C[C@H](Nc1nc(C(=O)N2CC(C2)NC(=O)C2CCCCC2)c2sccc2n1)c1cncc(F)c1
137539590,C[C@H](Nc1nc(C(=O)N2CC(N)C2)c2sccc2n1)c1cncc(F)c1
137539591,C[C@H](Nc1nc(C(=O)NCCc2ccc(O)cc2)c2sccc2n1)c1cncc(F)c1
137539592,C[C@H](Nc1nc(C(=O)N2CCCC2)c2sc(cc2n1)C(F)(F)F)c1cccnc1
