PubChem CID,Ligand SMILES
46842383,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]1CCN(CCC2CCN(CC2)C(=O)c2ccccc2)C1
46866711,CC(C)N(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1cccc2ccccc12
46884818,Fc1ccccc1C(=O)N1CCC(CCN2CC[C@H](C2)NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)CC1
46884856,Fc1ccc(F)c(c1)C(=O)N1CCC(CCN2CC[C@H](C2)NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)CC1
46884898,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]1CCN(CCC2CCN(CC2)C(=O)c2ccccc2Cl)C1
46885027,FC(F)(F)c1cccc(c1)C(=O)NCC(=O)N[C@@H]1CCN(CCN2CCN(CC2)C(=O)c2ccccc2)C1
46885213,Fc1ccccc1C(=O)N1CCN(CCN2CC[C@H](C2)NC(=O)CNC(=O)c2cccc(c2)C(F)(F)F)CC1
46934428,CC(C)N(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1ccc2ccccc2c1
49864289,CN1CCN(CC1)c1cccc(c1)N(CC1CC1)S(=O)(=O)c1ccc2ccccc2c1
49864292,CN1CCN(CC1)c1cccc(c1)N(Cc1ccccc1)S(=O)(=O)c1ccc2ccccc2c1
49864602,CC(C)N(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1ccccc1
49864722,CN(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1ccc2ccccc2c1
49864723,CCCN(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1ccc2ccccc2c1
49864724,CCN(c1cccc(c1)N1CCN(C)CC1)S(=O)(=O)c1ccc2ccccc2c1
51003550,CC1CC(=O)c2ccc(cc2N1S(=O)(=O)c1ccc2ccccc2c1)N1CCN(C)CC1
51003551,CC1CC(=O)c2c(cccc2N1S(=O)(=O)c1ccc2ccccc2c1)N1CCN(C)CC1
51003586,CCC1CC(=O)c2c(cccc2N1S(=O)(=O)c1ccc2ccccc2c1)N1CCN(C)CC1
52941478,COc1ccc(Nc2c(c(C)nn2C2CCCCC2)-c2ccc3nccnc3c2)c(c1)C(O)=O
52946211,COc1ccc(Nc2c(c(C)nn2-c2ccccc2C)-c2ccc3nccnc3c2)c(c1)C(O)=O
52947525,COc1ccc(Nc2c(c(C)nn2-c2ccccc2)-c2ccc3nccnc3c2)c(c1)C(O)=O
52948788,Cc1ccccc1-n1nc(c(c1Nc1ccccc1C(O)=O)-c1ccc2nccnc2c1)C(F)(F)F
52948995,CCc1nn(c(Nc2ccccc2C(O)=O)c1-c1ccc2nccnc2c1)-c1ccccc1C
53320009,CN1CCN(CC1)c1ccc2C(=O)CCN(c2c1)S(=O)(=O)c1ccc2ccccc2c1
53320010,CN1CCN(CC1)c1cccc2N(CCC(=O)c12)S(=O)(=O)c1ccc2ccccc2c1
53322638,CC1CC(=O)c2c(cc(C)cc2N1S(=O)(=O)c1ccc2ccccc2c1)N1CCN(C)CC1
54576142,Cc1nc(C(=O)NCCCN2CCN(CC2)c2cccc(Cl)c2Cl)c(C)n1-c1ccccc1
54577891,Cc1nc(C(=O)NCCN2CCN(CC2)c2cccc(Cl)c2Cl)c(C)n1-c1ccccc1
60149678,C(Cc1ccccc1)[C@@H]1CN(Cc2nc3ccccc3[nH]2)CCO1
67548131,CCNC(=O)c1cc(cc(c1)-c1cccc(c1)-c1cc(NC(=O)Nc2c(Cl)cncc2Cl)c(=O)n(CC)n1)C(=O)NCCCN(C)C
67548175,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cc(cc(c1)C(=O)NC1CC1)C(=O)NCC[C@H]1CCCN1C
67548337,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(CC(=O)NCCCCCCCN(C)CCO)c1
67548392,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1ccc(CC(=O)NCCCCCCCN(C)CCO)cc1
67548498,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1ccc(CC(O)=O)cc1
67548720,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cccc(CC(O)=O)c1
67548983,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cc(cc(c1)C(=O)NC1CC1)C#N
67549056,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cc(cc(c1)C(=O)NC1CC1)C(=O)NCCN1CCOCC1
67549086,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1ccc(CC(=O)NCCN2CCCCC2)cc1
67549097,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cc(cc(c1)C(=O)NC1CC1)C(=O)NC1CC1
67549451,CCOc1cc(cc(c1)-c1cccc(c1)-c1cc(NC(=O)Nc2c(Cl)cncc2Cl)c(=O)n(CC)n1)C(=O)NC1CC1
67549626,CCn1nc(cc(NC(=O)Nc2c(Cl)cncc2Cl)c1=O)-c1cccc(c1)-c1cc(cc(c1)C(=O)NC1CCN(Cc2ccccc2)CC1)C(=O)NC1CC1
