PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
137539762,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137539777,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137539780,300,,,,,,,,,,,10,30,500,,,,,,,,,,,,,,,,,
137539783,300,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
141419107,,,,,,,,,,10000,,,,,,,10000,,,,,,,,,10000,,0.52,,,
142426971,104,,,,,,,,,,,3.05,884,1009,,,,,,,,,,,,,,,,,
142426985,104,,,,,,,,,,,1.04,78.2,222,,,,,,,,,,,,,,,,,
142426991,104,,,,,,,,,,,2.33,522,519,,,,,,,,,,,,,,,,,
142426997,104,,,,,,,,,,,2.59,209,302,,,,,,,,,,,,,,,,,
142427004,104,,,,,,,,,,,0.75,793,409,,,,,,,,,,,,,,,,,
142427013,104,,,,,,,,,,,0.08,82.6,37,,,,,,,,,,,,,,,,,
142427021,104,,,,,,,,,,,1.68,112,248,,,,,,,,,,,,,,,,,
142427022,104,,,,,,,,,,,0.96,85.4,173,,,,,,,,,,,,,,,,,
142540038,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
142540044,10,,,,,,,,,,,500,30,10,,,,,,,,,,,,,,,,,
142540051,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540063,75,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
142540095,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540098,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
142540105,500,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
142540109,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
142540138,500,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
142540146,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
142540160,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
